"","year","stock","length","SSTarc_summer","SSTarc_winter","PDO","WA_Pinks","ALPI","Pinks","NPGO","MEI_summer","MEI_winter","BI"
"1",1986,"one_YO_summer COWL 3",-0.432167283502248,0.34447407043283,0.246118316842222,1.49555414714238,-0.799018308171118,2.15143121562566,-1.03113010375293,-0.732847288333333,0.973333333333333,-0.35,-1.41417034314013
"2",1986,"one_YO_summer GREL 3",-1.24551319105607,0.34447407043283,0.246118316842222,1.49555414714238,-0.799018308171118,2.15143121562566,-1.03113010375293,-0.732847288333333,0.973333333333333,-0.35,-1.41417034314013
"3",1986,"one_YO_summer GREL 3",-1.24551319105607,0.34447407043283,0.246118316842222,1.49555414714238,-0.799018308171118,2.15143121562566,-1.03113010375293,-0.732847288333333,0.973333333333333,-0.35,-1.41417034314013
"4",1987,"one_YO_summer GREL 3",0.155731788443079,-0.18100158429132,0.45855084274007,1.64398800335588,0.193822701257143,1.51891920394816,-0.471887750394094,0.429174729166667,1.54333333333333,1.17666666666667,-0.763410963303142
"5",1987,"one_YO_summer GREL 3",0.155731788443079,-0.18100158429132,0.45855084274007,1.64398800335588,0.193822701257143,1.51891920394816,-0.471887750394094,0.429174729166667,1.54333333333333,1.17666666666667,-0.763410963303142
"6",1987,"one_YO_summer COWL 3",-0.743104823953806,-0.18100158429132,0.45855084274007,1.64398800335588,0.193822701257143,1.51891920394816,-0.471887750394094,0.429174729166667,1.54333333333333,1.17666666666667,-0.763410963303142
"7",1988,"one_YO_summer COWL 3",-1.03298000651505,-0.0920488251148964,0.0132102283938178,0.293718730704072,-0.799018308171118,0.554138224110959,-0.826084487748374,1.32363676333333,-1.77666666666667,0.363333333333333,-0.84829262154275
"8",1989,"one_YO_summer COWL 3",-0.982729657144979,0.536806230637925,-0.339264697042005,-0.241600789446538,1.2935999038992,-1.00312236160137,-0.0780338198967607,0.612240616666667,-0.82,-1.11666666666667,0.538107796370846
"9",1990,"one_YO_summer COWL 3",0.591694963199564,0.827616549912811,0.006107248520029,-0.612206611089268,-0.799018308171118,-0.278535816578411,0.434783614806247,-0.201546121083333,0.146666666666667,0.386666666666667,0.198581163412415
"10",1991,"one_YO_summer GREL 3",-1.19048525573727,-0.209636295757308,0.045696271425006,-0.672537791356689,1.80250827275986,0.24989194001292,0.281871549880582,-0.498914711166667,0.64,0.15,0.255168935572157
"11",1991,"one_YO_summer GREL 3",-1.19048525573727,-0.209636295757308,0.045696271425006,-0.672537791356689,1.80250827275986,0.24989194001292,0.281871549880582,-0.498914711166667,0.64,0.15,0.255168935572157
"12",1991,"one_YO_summer COWL 3",-3.10175801055035,-0.209636295757308,0.045696271425006,-0.672537791356689,1.80250827275986,0.24989194001292,0.281871549880582,-0.498914711166667,0.64,0.15,0.255168935572157
"13",1992,"one_YO_summer GREL 3",-0.753227629517582,1.20754678551625,0.0374408823320235,1.21113572588168,-0.799018308171118,0.926439598073033,-0.820527770467191,-1.09491887,0.446666666666667,1.67,-0.791704849383007
"14",1992,"one_YO_summer GREL 3",-0.753227629517582,1.20754678551625,0.0374408823320235,1.21113572588168,-0.799018308171118,0.926439598073033,-0.820527770467191,-1.09491887,0.446666666666667,1.67,-0.791704849383007
"15",1992,"one_YO_summer COWL 3",-0.322655857565253,1.20754678551625,0.0374408823320235,1.21113572588168,-0.799018308171118,0.926439598073033,-0.820527770467191,-1.09491887,0.446666666666667,1.67,-0.791704849383007
"16",1993,"one_YO_summer GREL 3",-0.181644225626496,1.07656847230094,0.0666150848755891,1.53673257176935,1.20445605599056,-0.306558500640073,-0.554279255648899,-1.90199258833333,0.723333333333333,0.846666666666667,-2.20639915337647
"17",1993,"one_YO_summer COWL 3",-0.956529712754862,1.07656847230094,0.0666150848755891,1.53673257176935,1.20445605599056,-0.306558500640073,-0.554279255648899,-1.90199258833333,0.723333333333333,0.846666666666667,-2.20639915337647
"18",1993,"one_YO_summer GREL 3",-0.181644225626496,1.07656847230094,0.0666150848755891,1.53673257176935,1.20445605599056,-0.306558500640073,-0.554279255648899,-1.90199258833333,0.723333333333333,0.846666666666667,-2.20639915337647
