"","stock","p52.5","COG","n","run","sex","release_type","release_location_rmis_region","release_location_rmis_basin"
"1","one_YO_fall 1 F WILL",0.176470588235294,55.0955042016807,17,1,"F","one_YO_fall","LOCR","WILL"
"2","one_YO_fall 1 M WILL",0.230769230769231,54.6442840432672,13,1,"M","one_YO_fall","LOCR","WILL"
"3","one_YO_fall 3 F COWL",1,46.1838260869565,23,3,"F","one_YO_fall","LOCR","COWL"
"4","one_YO_fall 3 F SAWA",0.9375,47.394684563946,16,3,"F","one_YO_fall","LOCR","SAWA"
"5","one_YO_fall 3 F SIYA",0.260869565217391,52.8729982285999,23,3,"F","one_YO_fall","NOOR","SIYA"
"6","one_YO_fall 3 F YOCL",1,44.6784580979474,67,3,"F","one_YO_fall","LOCR","YOCL"
"7","one_YO_fall 3 M COWL",1,46.4611428571429,14,3,"M","one_YO_fall","LOCR","COWL"
"8","one_YO_fall 3 M SAWA",1,46.8603293003386,18,3,"M","one_YO_fall","LOCR","SAWA"
"9","one_YO_fall 3 M SIYA",0.411764705882353,51.1983352941176,17,3,"M","one_YO_fall","NOOR","SIYA"
"10","one_YO_fall 3 M YOCL",1,44.6868888888889,72,3,"M","one_YO_fall","LOCR","YOCL"
"11","one_YO_fall 8 F SAND",1,46.5988891420912,12,8,"F","one_YO_fall","LOCR","SAND"
"12","one_YO_summer 1 F TILN",0.818181818181818,48.1903629602249,11,1,"F","one_YO_summer","NOOR","TILN"
"13","one_YO_summer 3 F GREL",1,46.5666545454545,22,3,"F","one_YO_summer","LOCR","GREL"
"14","one_YO_summer 3 F MNPR",0.571428571428571,51.7017668945418,28,3,"F","one_YO_summer","UPCR","MNPR"
"15","one_YO_summer 3 F QEQU",0.15,54.5458633333333,20,3,"F","one_YO_summer","NWC","QEQU"
"16","one_YO_summer 3 F SAND",1,47.2991122837184,19,3,"F","one_YO_summer","LOCR","SAND"
"17","one_YO_summer 3 F SAWA",0.857142857142857,48.0891428571429,14,3,"F","one_YO_summer","LOCR","SAWA"
"18","one_YO_summer 3 F SIYA",0.368421052631579,52.6732815078236,19,3,"F","one_YO_summer","NOOR","SIYA"
"19","one_YO_summer 3 F WILL",0.964285714285714,47.127737241862,28,3,"F","one_YO_summer","LOCR","WILL"
"20","one_YO_summer 3 F WIND",1,46.8593628030609,56,3,"F","one_YO_summer","CECR","WIND"
"21","one_YO_summer 3 F YOCL",1,45.2827233012425,127,3,"F","one_YO_summer","LOCR","YOCL"
"22","one_YO_summer 3 M COWL",1,46.7029090909091,22,3,"M","one_YO_summer","LOCR","COWL"
"23","one_YO_summer 3 M GREL",1,46.6940201601767,17,3,"M","one_YO_summer","LOCR","GREL"
"24","one_YO_summer 3 M LEWI",1,47.4111083333333,12,3,"M","one_YO_summer","LOCR","LEWI"
"25","one_YO_summer 3 M MNPR",0.6,51.0809128374983,15,3,"M","one_YO_summer","UPCR","MNPR"
"26","one_YO_summer 3 M QEQU",0.0476190476190476,55.1930594802023,21,3,"M","one_YO_summer","NWC","QEQU"
"27","one_YO_summer 3 M SAND",1,46.8312610655738,24,3,"M","one_YO_summer","LOCR","SAND"
"28","one_YO_summer 3 M SAWA",0.857142857142857,48.1727069458075,21,3,"M","one_YO_summer","LOCR","SAWA"
"29","one_YO_summer 3 M SIYA",0.352941176470588,51.7840394957983,17,3,"M","one_YO_summer","NOOR","SIYA"
"30","one_YO_summer 3 M WILL",1,46.6387807692308,26,3,"M","one_YO_summer","LOCR","WILL"
"31","one_YO_summer 3 M WIND",1,47.0012441808042,65,3,"M","one_YO_summer","CECR","WIND"
