"","release_type","run","sex","release_location_rmis_basin","age","brood_year","length","y_n","release_length"
"1","one_YO_fall",1,"M","DESC",3,1987,490.42,50,132.34472743521
"2","one_YO_fall",1,"M","DESC",3,1988,506.111111111111,63,132.34472743521
"3","one_YO_fall",1,"M","DESC",3,1992,500.30303030303,198,132.34472743521
"4","one_YO_fall",1,"M","DESC",3,1993,543.37962962963,108,132.34472743521
"5","one_YO_fall",1,"M","DESC",3,1995,560.204081632653,98,132.34472743521
"6","one_YO_fall",1,"M","DESC",3,1996,499.622950819672,1220,132.34472743521
"7","one_YO_fall",1,"M","DESC",3,1997,509.66,100,132.34472743521
"8","one_YO_fall",1,"M","DESC",3,1998,562.732793522267,247,132.34472743521
"9","one_YO_fall",1,"M","DESC",3,1999,489.176470588235,34,132.34472743521
"10","one_YO_fall",1,"M","DESC",3,2000,540,139,132.34472743521
"11","one_YO_fall",1,"M","DESC",3,2002,532.127659574468,47,132.34472743521
"12","one_YO_fall",1,"M","DESC",3,2005,553.333333333333,39,132.34472743521
"13","one_YO_fall",1,"M","DESC",4,1981,725.333333333333,15,132.34472743521
"14","one_YO_fall",1,"M","DESC",4,1987,668.052631578947,285,132.34472743521
"15","one_YO_fall",1,"M","DESC",4,1988,684.324324324324,333,132.34472743521
"16","one_YO_fall",1,"M","DESC",4,1991,724.788732394366,71,132.34472743521
"17","one_YO_fall",1,"M","DESC",4,1992,721.55637254902,408,132.34472743521
"18","one_YO_fall",1,"M","DESC",4,1993,745.969626168224,428,132.34472743521
"19","one_YO_fall",1,"M","DESC",4,1995,735.44592476489,1276,132.34472743521
"20","one_YO_fall",1,"M","DESC",4,1996,710.96409615985,3203,132.34472743521
"21","one_YO_fall",1,"M","DESC",4,1997,733.45558739255,698,132.34472743521
"22","one_YO_fall",1,"M","DESC",4,1998,731.487261146497,628,132.34472743521
"23","one_YO_fall",1,"M","DESC",4,1999,722.716417910448,201,132.34472743521
"24","one_YO_fall",1,"M","DESC",4,2000,714.762973352034,713,132.34472743521
"25","one_YO_fall",1,"M","DESC",4,2002,693.458333333333,480,132.34472743521
"26","one_YO_fall",1,"M","DESC",4,2003,694.256559766764,343,132.34472743521
"27","one_YO_fall",1,"M","DESC",4,2005,741.323529411765,136,132.34472743521
"28","one_YO_fall",1,"M","DESC",4,2006,726.933797909408,287,132.34472743521
"29","one_YO_fall",3,"F","YOCL",3,1983,653.95652173913,46,121.772329566168
"30","one_YO_fall",3,"F","YOCL",3,1984,642.25,32,121.772329566168
"31","one_YO_fall",3,"F","YOCL",3,1985,688.571428571429,112,121.772329566168
"32","one_YO_fall",3,"F","YOCL",3,1986,652.432432432432,37,121.772329566168
"33","one_YO_fall",3,"F","YOCL",3,1987,661.897959183673,196,121.772329566168
"34","one_YO_fall",3,"F","YOCL",3,1988,662.566552901024,293,121.772329566168
"35","one_YO_fall",3,"F","YOCL",3,1991,655.11320754717,106,121.772329566168
"36","one_YO_fall",3,"F","YOCL",3,1992,680.432989690722,485,121.772329566168
"37","one_YO_fall",3,"F","YOCL",3,1993,631.928571428571,28,121.772329566168
"38","one_YO_fall",3,"F","YOCL",3,1994,639.692307692308,13,121.772329566168
"39","one_YO_fall",3,"F","YOCL",3,1997,686.028571428571,35,121.772329566168
