"","release_type","run","sex","release_location_rmis_basin","age","brood_year","fishery","gear","release_age","length","y_n","release_length"
"1","one_YO_fall",1,"M","DESC",3,1987,46,"26",1,478.333333333333,6,132.34472743521
"2","one_YO_fall",1,"M","DESC",3,1987,50,"50",1,486.190476190476,42,132.34472743521
"3","one_YO_fall",1,"M","DESC",3,1987,55,"16",1,660,1,132.34472743521
"4","one_YO_fall",1,"M","DESC",3,1987,56,"20",1,571,1,132.34472743521
"5","one_YO_fall",1,"M","DESC",3,1988,50,"50",1,507,60,132.34472743521
"6","one_YO_fall",1,"M","DESC",3,1988,56,"20",1,488.333333333333,3,132.34472743521
"7","one_YO_fall",1,"M","DESC",3,1992,50,"50",1,500.30303030303,198,132.34472743521
"8","one_YO_fall",1,"M","DESC",3,1993,46,"26",1,548.125,8,132.34472743521
"9","one_YO_fall",1,"M","DESC",3,1993,50,"50",1,543,100,132.34472743521
"10","one_YO_fall",1,"M","DESC",3,1995,50,"50",1,560.204081632653,98,132.34472743521
"11","one_YO_fall",1,"M","DESC",3,1996,50,"50",1,499.622950819672,1220,132.34472743521
"12","one_YO_fall",1,"M","DESC",3,1997,46,"26",1,530.151515151515,33,132.34472743521
"13","one_YO_fall",1,"M","DESC",3,1997,50,"22",1,600,2,132.34472743521
"14","one_YO_fall",1,"M","DESC",3,1997,50,"50",1,496.5625,64,132.34472743521
"15","one_YO_fall",1,"M","DESC",3,1997,55,"16",1,491,1,132.34472743521
"16","one_YO_fall",1,"M","DESC",3,1998,21,"13",1,537.5,2,132.34472743521
"17","one_YO_fall",1,"M","DESC",3,1998,46,"26",1,559.913793103448,116,132.34472743521
"18","one_YO_fall",1,"M","DESC",3,1998,50,"50",1,564.920634920635,126,132.34472743521
"19","one_YO_fall",1,"M","DESC",3,1998,56,"20",1,596.666666666667,3,132.34472743521
"20","one_YO_fall",1,"M","DESC",3,1999,21,"13",1,552,1,132.34472743521
"21","one_YO_fall",1,"M","DESC",3,1999,46,"26",1,440,1,132.34472743521
"22","one_YO_fall",1,"M","DESC",3,1999,50,"50",1,488.75,32,132.34472743521
"23","one_YO_fall",1,"M","DESC",3,2000,46,"26",1,540,5,132.34472743521
"24","one_YO_fall",1,"M","DESC",3,2000,50,"50",1,540,134,132.34472743521
"25","one_YO_fall",1,"M","DESC",3,2002,50,"50",1,532.127659574468,47,132.34472743521
"26","one_YO_fall",1,"M","DESC",3,2005,46,"26",1,560,1,132.34472743521
"27","one_YO_fall",1,"M","DESC",3,2005,50,"50",1,553.157894736842,38,132.34472743521
"28","one_YO_fall",1,"M","DESC",4,1981,46,"26",1,726.428571428571,14,132.34472743521
"29","one_YO_fall",1,"M","DESC",4,1981,56,"20",1,710,1,132.34472743521
"30","one_YO_fall",1,"M","DESC",4,1987,50,"50",1,668.489208633094,278,132.34472743521
"31","one_YO_fall",1,"M","DESC",4,1987,55,"16",1,720,1,132.34472743521
"32","one_YO_fall",1,"M","DESC",4,1987,56,"20",1,639.166666666667,6,132.34472743521
"33","one_YO_fall",1,"M","DESC",4,1988,46,"26",1,690.375,40,132.34472743521
"34","one_YO_fall",1,"M","DESC",4,1988,50,"50",1,683.884892086331,278,132.34472743521
