"","release_type","run","sex","release_location_rmis_basin","brood_year","length_age3","length_age4","length_age5"
"1","one_YO_fall",1,"M","DESC",1981,NA,725.333333333333,NA
"2","one_YO_fall",1,"M","DESC",1987,490.42,668.052631578947,NA
"3","one_YO_fall",1,"M","DESC",1988,506.111111111111,684.324324324324,NA
"4","one_YO_fall",1,"M","DESC",1991,NA,724.788732394366,NA
"5","one_YO_fall",1,"M","DESC",1992,500.30303030303,721.55637254902,NA
"6","one_YO_fall",1,"M","DESC",1993,543.37962962963,745.969626168224,NA
"7","one_YO_fall",1,"M","DESC",1995,560.204081632653,735.44592476489,NA
"8","one_YO_fall",1,"M","DESC",1996,499.622950819672,710.96409615985,NA
"9","one_YO_fall",1,"M","DESC",1997,509.66,733.45558739255,NA
"10","one_YO_fall",1,"M","DESC",1998,562.732793522267,731.487261146497,NA
"11","one_YO_fall",1,"M","DESC",1999,489.176470588235,722.716417910448,NA
"12","one_YO_fall",1,"M","DESC",2000,540,714.762973352034,NA
"13","one_YO_fall",1,"M","DESC",2002,532.127659574468,693.458333333333,NA
"14","one_YO_fall",1,"M","DESC",2003,NA,694.256559766764,NA
"15","one_YO_fall",1,"M","DESC",2005,553.333333333333,741.323529411765,NA
"16","one_YO_fall",1,"M","DESC",2006,NA,726.933797909408,NA
"17","one_YO_fall",3,"F","YOCL",1983,653.95652173913,787.625806451613,NA
"18","one_YO_fall",3,"F","YOCL",1984,642.25,742.077868852459,NA
"19","one_YO_fall",3,"F","YOCL",1985,688.571428571429,789.525222551929,NA
"20","one_YO_fall",3,"F","YOCL",1986,652.432432432432,775.300578034682,NA
"21","one_YO_fall",3,"F","YOCL",1987,661.897959183673,766.514541387025,NA
"22","one_YO_fall",3,"F","YOCL",1988,662.566552901024,763.220930232558,NA
"23","one_YO_fall",3,"F","YOCL",1990,NA,760.8984375,NA
"24","one_YO_fall",3,"F","YOCL",1991,655.11320754717,780.340909090909,NA
"25","one_YO_fall",3,"F","YOCL",1992,680.432989690722,765.824451410658,NA
"26","one_YO_fall",3,"F","YOCL",1993,631.928571428571,770.818181818182,NA
"27","one_YO_fall",3,"F","YOCL",1994,639.692307692308,723.613636363636,NA
"28","one_YO_fall",3,"F","YOCL",1995,NA,702.933333333333,NA
"29","one_YO_fall",3,"F","YOCL",1996,NA,770.636363636364,NA
"30","one_YO_fall",3,"F","YOCL",1997,686.028571428571,831.196078431373,NA
"31","one_YO_fall",3,"F","YOCL",1998,681.136363636364,825.43661971831,NA
"32","one_YO_fall",3,"F","YOCL",1999,684.063492063492,822.260869565217,NA
"33","one_YO_fall",3,"F","YOCL",2000,685.96,813.111111111111,NA
"34","one_YO_fall",3,"F","YOCL",2002,704.333333333333,819.206896551724,NA
"35","one_YO_fall",3,"F","YOCL",2004,690.48275862069,850.833333333333,NA
"36","one_YO_fall",3,"M","YOCL",1983,661.45652173913,839.392857142857,NA
"37","one_YO_fall",3,"M","YOCL",1984,619.084337349398,764.646341463415,NA
"38","one_YO_fall",3,"M","YOCL",1985,683.813333333333,829.071428571429,NA
"39","one_YO_fall",3,"M","YOCL",1986,641.573529411765,815.976878612717,NA
"40","one_YO_fall",3,"M","YOCL",1987,644.325259515571,831.306878306878,NA
"41","one_YO_fall",3,"M","YOCL",1988,693.992277992278,816.855555555556,NA
"42","one_YO_fall",3,"M","YOCL",1990,NA,833.818181818182,NA
"43","one_YO_fall",3,"M","YOCL",1991,673.655629139073,843.823529411765,NA
"44","one_YO_fall",3,"M","YOCL",1992,709.500770416025,846.416974169742,NA
"45","one_YO_fall",3,"M","YOCL",1993,624.666666666667,797.477272727273,NA
"46","one_YO_fall",3,"M","YOCL",1994,616.8,814.111111111111,NA
"47","one_YO_fall",3,"M","YOCL",1995,NA,866,NA
"48","one_YO_fall",3,"M","YOCL",1996,640,816.055555555556,NA
"49","one_YO_fall",3,"M","YOCL",1997,663.833333333333,874.018181818182,NA
"50","one_YO_fall",3,"M","YOCL",1998,709.188679245283,865.571428571429,NA
"51","one_YO_fall",3,"M","YOCL",1999,707.562874251497,891.372093023256,NA
"52","one_YO_fall",3,"M","YOCL",2000,693.555555555556,879.636363636364,NA
"53","one_YO_fall",3,"M","YOCL",2002,697.28,864.166666666667,NA
"54","one_YO_fall",3,"M","YOCL",2004,722.6,NA,NA
"55","one_YO_summer",2,"F","PRGC",1977,NA,858.125,920
"56","one_YO_summer",2,"F","PRGC",1984,NA,848.235294117647,924.516129032258
"57","one_YO_summer",2,"F","PRGC",1985,NA,830.555555555556,886.666666666667
"58","one_YO_summer",2,"F","PRGC",1989,NA,NA,870
"59","one_YO_summer",2,"F","PRGC",1993,NA,832.5,927.142857142857
"60","one_YO_summer",2,"F","PRGC",1995,NA,851.637931034483,909.245283018868
"61","one_YO_summer",2,"F","PRGC",1996,NA,869.287211740042,965.633802816901
"62","one_YO_summer",2,"F","PRGC",1998,NA,869.84375,893
"63","one_YO_summer",2,"F","PRGC",1999,NA,845.700934579439,906.538461538462
"64","one_YO_summer",2,"F","PRGC",2001,NA,836.9,917.225806451613
"65","one_YO_summer",2,"F","PRGC",2002,NA,857.647058823529,904.117647058824
"66","one_YO_summer",2,"F","PRGC",2008,NA,840.620689655172,849.230769230769
"67","one_YO_summer",2,"F","PRGC",2009,NA,797.322720694645,870.142857142857
"68","one_YO_summer",2,"M","PRGC",1977,610.47619047619,840.952380952381,NA
"69","one_YO_summer",2,"M","PRGC",1983,652.857142857143,NA,NA
"70","one_YO_summer",2,"M","PRGC",1984,657.551020408163,762,NA
"71","one_YO_summer",2,"M","PRGC",1985,NA,793.636363636364,NA
"72","one_YO_summer",2,"M","PRGC",1986,626,NA,NA
"73","one_YO_summer",2,"M","PRGC",1989,643.333333333333,NA,NA
"74","one_YO_summer",2,"M","PRGC",1993,NA,821.666666666667,NA
"75","one_YO_summer",2,"M","PRGC",1995,654.705882352941,814.038461538462,NA
"76","one_YO_summer",2,"M","PRGC",1996,679.380530973451,828.786802030457,NA
"77","one_YO_summer",2,"M","PRGC",1998,735.92,856.176470588235,NA
"78","one_YO_summer",2,"M","PRGC",1999,NA,833.571428571429,NA
"79","one_YO_summer",2,"M","PRGC",2001,733.529411764706,835.984251968504,NA
"80","one_YO_summer",2,"M","PRGC",2002,NA,842.941176470588,NA
"81","one_YO_summer",2,"M","PRGC",2008,701.021505376344,824.594594594595,NA
"82","one_YO_summer",2,"M","PRGC",2009,674.041095890411,770.509578544061,NA
"83","one_YO_summer",3,"F","COWL",1977,705.625,853.855799373041,905.922330097087
"84","one_YO_summer",3,"F","COWL",1978,730.4,831.294444444444,906.666666666667
"85","one_YO_summer",3,"F","COWL",1980,692.058823529412,818.854368932039,877.078651685393
"86","one_YO_summer",3,"F","COWL",1981,NA,832.597402597403,926.388888888889
"87","one_YO_summer",3,"F","COWL",1982,713.636363636364,830.485436893204,904
"88","one_YO_summer",3,"F","COWL",1983,730.529411764706,830.495049504951,913.023255813953
"89","one_YO_summer",3,"F","COWL",1984,713.733333333333,832.377819548872,902.602040816327
"90","one_YO_summer",3,"F","COWL",1985,NA,821.007751937984,882.903225806452
"91","one_YO_summer",3,"F","COWL",1986,702.857142857143,803.821138211382,NA
"92","one_YO_summer",3,"F","COWL",1987,NA,794.444444444444,912.307692307692
"93","one_YO_summer",3,"F","COWL",1988,731.052631578947,822.162162162162,856
"94","one_YO_summer",3,"F","COWL",1989,672.5,831.2,NA
