,features,r2_train,r2_test,totals_effect,nonlinear,interactions,rho_X,int_X,rho_U,int_U,N,cos_sim,correlation
0,2,0.8533561188035361,0.5706359404195653,0.75,1,0,0.5,1,0.5,2,30,0.9838864809354737,1.0
1,5,0.7577320567517871,0.18512512125945746,0.75,1,2,0.0,1,0.0,2,30,0.8090326373579168,0.5400285069453219
2,10,0.726835020511506,0.27191919075031046,0.75,0,0,0.0,1,0.5,2,50,0.9744956230404226,0.9526043641601375
3,5,0.7736511899353318,-0.9352646614388194,0.75,0,2,0.5,1,0.5,2,30,0.8590072176197344,0.7917539815469925
4,10,0.8597846734673912,0.49393632548910393,0.75,0,2,0.5,1,0.5,2,30,0.167593211059722,-0.154441979528352
5,10,0.5599235629014656,0.6157034365464624,0.75,3,2,0.0,1,0.5,2,100,0.38543786849066675,0.20590327173564238
6,10,0.6567914787712901,-4.381343811799048,0.25,1,2,0.0,1,0.5,2,30,0.5653904270286048,0.23907643629458233
7,5,0.6529894515265335,0.6230028546551407,0.75,1,1,0.5,1,0.5,2,50,0.708783174903417,-0.38134946705012546
8,5,0.8156669479782264,0.7769362035042364,0.75,3,0,0.5,1,0.5,2,50,0.965410709076045,0.9468464063759531
9,10,0.7322247098190251,0.7236316645229579,0.75,1,2,0.5,1,0.5,2,100,0.7032993993196285,0.5813681582017983
10,5,0.6988371892800818,0.7427625843058085,0.75,3,0,0.5,1,0.5,2,30,0.4766380548241258,-0.2651538696908749
11,10,0.7798183081608545,0.7313999629378198,0.75,3,1,0.5,1,0.0,2,50,0.603044564833621,0.48455597276306966
12,10,0.6305239781692229,0.2674077243818652,0.5,0,0,0.0,1,0.5,2,30,0.8469766866247299,0.7596203261269803
13,2,0.2260777760944268,0.1984500171633956,0.25,1,1,0.5,1,0.5,2,100,0.8965720731750885,-0.9999999999999999
14,10,0.737381829853056,0.5327639152357111,0.75,3,1,0.5,1,0.5,2,50,0.8085392045718995,0.7735385241872229
15,5,0.7328051125171665,0.8972951371433717,0.5,1,0,0.0,1,0.0,2,30,0.7955073925441168,0.6070670251558984
16,10,0.6321382544561329,0.30826850070172596,0.75,1,0,0.0,1,0.0,2,30,0.864836363846218,0.7575092276410286
17,5,0.6075982495673675,-1.8665342238555191,0.25,1,1,0.0,1,0.0,2,50,0.3328383974128856,-0.683475119501292
18,5,0.6945115966642161,0.12083515448557058,0.75,1,2,0.0,1,0.5,2,50,0.5481578235873916,0.1934819160634057
19,10,0.6154326378000106,-0.5737569115546544,0.5,3,1,0.0,1,0.0,2,50,0.29398007052078334,-0.28114186181578293
20,2,0.6546408358409721,0.4911090888496903,0.5,0,1,0.5,1,0.5,2,50,0.9369879187336635,-0.9999999999999999
21,10,0.6182997715990535,-0.48666128345162085,0.25,3,0,0.5,1,0.0,2,30,0.5517738654251592,0.10311118644758259
22,5,0.08479023732311075,-0.06340428268375642,0.25,0,2,0.0,1,0.5,2,100,0.8399915483418824,0.6221600341810347
23,10,0.7044506413768079,0.5502372790747213,0.5,3,2,0.0,1,0.5,2,30,0.5749236377696187,0.07154334224882256
24,2,0.5565941992574714,0.10943133262666782,0.25,0,1,0.5,1,0.5,2,30,0.997870515585869,0.9999999999999998
25,2,0.556247280003539,-3.0984309863616444,0.25,0,0,0.0,1,0.5,2,30,0.9995951386047061,1.0
26,10,0.4603803657379616,0.5045008995433469,0.5,3,0,0.5,1,0.0,2,100,0.5634240316007099,0.36329605132785225
