,features,r2_train,r2_test,totals_effect,nonlinear,interactions,rho_X,int_X,rho_U,int_U,N,cos_sim,cos_sim_rand
0,10,0.2905713970530056,-0.47030038899186977,0.25,0,1,0.0,1,0.0,2,100,0.6271948647671033,0.6163859557425525
1,5,0.3499359831123673,-0.31388727350026,0.5,3,2,0.5,1,0.5,2,100,0.33989858626579683,0.303671229189728
2,10,0.8568671598095512,-0.23368874954955943,0.75,0,0,0.5,1,0.0,2,30,0.5567783935812184,0.19903967861726982
3,2,0.5265208401983879,-3.234238702085295,0.25,0,1,0.5,1,0.0,2,50,0.9948701703975629,0.9979281590793591
4,5,0.7718418702151782,0.6338610983663064,0.75,0,0,0.5,1,0.5,2,50,0.9713259482413166,0.5979963571684959
5,5,0.7247380532691832,0.8217221349856182,0.5,3,0,0.5,1,0.5,2,30,0.9502070238557502,0.3985259103433557
6,10,0.6990492316789221,-1.088921310161977,0.25,3,2,0.5,1,0.0,2,30,0.7764844937087486,0.5809283118683357
7,5,0.6019030264907235,-0.06754572100601464,0.75,1,2,0.5,1,0.0,2,100,0.47419089720711344,0.23652394265836818
8,5,0.7240542746295513,0.053202947789227184,0.25,1,0,0.5,1,0.5,2,30,0.36063470323151087,0.2516928171297805
9,5,0.6504751018271027,0.08322921419929741,0.25,1,1,0.5,1,0.5,2,30,0.6358156071656149,0.5547109763694186
10,10,0.8275367929206079,0.5935093117189365,0.5,1,0,0.5,1,0.5,2,30,0.9722412358203021,0.2175902953540339
11,10,0.38267546040177103,-0.27864519144976185,0.25,1,2,0.5,1,0.5,2,100,0.4236996529203527,0.4879424712580147
12,5,0.46640559771443024,0.11753612822972614,0.5,3,2,0.5,1,0.5,2,100,0.6399255450065225,0.7383105584960675
13,10,0.4991087430413419,0.1976132279158369,0.5,1,2,0.5,1,0.5,2,100,0.5804737364820077,0.7149159208231731
14,5,0.6867568775598929,0.5817932505702703,0.25,1,0,0.5,1,0.5,2,30,0.3611609055866071,0.8359660471338825
15,10,0.7512065501132738,-3.163349180488514,0.5,0,2,0.5,1,0.5,2,30,0.49813549302060817,0.425083118905875
16,5,0.5507500871700293,0.4124770708291844,0.25,1,1,0.5,1,0.5,2,50,0.8250963277349466,0.7857629168981379
17,10,0.3257482852215242,-0.05305265308604423,0.25,1,2,0.0,1,0.0,2,100,0.27291243575605245,0.8397201127931293
18,10,0.5144396885866265,0.4280744763547294,0.5,0,2,0.5,1,0.5,2,100,0.6899192518856297,0.7956278349235208
19,5,0.7540237275122901,0.3151144786560378,0.5,1,0,0.5,1,0.5,2,50,0.7024519436158724,0.7409219895842315
20,10,0.7567604020055433,-0.7724642304539078,0.75,0,1,0.5,1,0.5,2,30,0.5981105030288123,0.20314300912629493
21,5,0.749254973149663,-0.26610179524961564,0.75,1,1,0.0,1,0.5,2,50,0.6944658850454787,0.4021213988205659
22,2,0.7884914061947431,0.31571930814189697,0.75,0,0,0.0,1,0.5,2,50,0.9926623059156083,0.6160136034794886
23,10,0.6330703638241323,0.49128082909320725,0.5,0,2,0.0,1,0.5,2,30,0.7222167633339656,0.23454199229899533
24,5,0.49753786658756194,-0.672557435209536,0.5,3,1,0.0,1,0.5,2,50,0.7695265954360574,0.8213517216919063
25,5,0.7745016658487148,0.642572698222301,0.75,0,1,0.5,1,0.5,2,50,0.9381594628474677,0.5291456221716859
26,5,0.6355898975777654,-1.2670166205814843,0.25,1,1,0.5,1,0.5,2,50,0.3803392869904122,0.886747969340158
27,5,0.7122428951500586,-1.5018350719055733,0.5,1,2,0.5,1,0.5,2,50,0.4801838742325282,0.3539055444243908
28,10,0.3554924242572788,0.3591879140594708,0.5,0,0,0.5,1,0.5,2,100,0.8602654479650523,0.28369401080471274
29,5,0.36324192622900175,0.00274255360435538,0.5,3,1,0.5,1,0.0,2,100,0.8159230824496357,0.8826846414367313
30,2,0.7821333856964523,0.30686567711413704,0.75,0,1,0.5,1,0.5,2,30,0.8909334586014265,0.9703902545615241
31,5,0.5656786195381036,-0.43236047271712996,0.25,1,1,0.0,1,0.0,2,50,0.2942732372674126,0.5234832167761275
32,2,0.3142474675860164,-0.26898990424491753,0.5,1,0,0.5,1,0.5,2,30,0.690902268930729,0.3990158526720722
33,2,0.798120086644624,0.7653273883914529,0.75,0,1,0.5,1,0.5,2,100,0.990365971377453,0.725901502613721
34,5,0.16638542218181174,-0.8077915685269761,0.25,3,0,0.5,1,0.0,2,100,0.0981740957256634,0.46787923761009564
35,10,0.616361627843484,0.5790685677610249,0.5,1,1,0.5,1,0.0,2,30,0.540286657002079,0.7187936738127135
36,5,0.6377657614625805,-0.06107335755245513,0.5,3,0,0.5,1,0.0,2,30,0.8276450199131659,0.32779324354306644
37,10,0.37302515237364164,0.14166278695926382,0.25,3,1,0.0,1,0.0,2,100,0.2930522197113441,0.5411103091890147
38,5,0.1940037922168284,0.005293849704192888,0.25,0,2,0.5,1,0.0,2,100,0.8298185719864325,0.3952709989115305
39,5,0.5583462259810272,-0.7892659781874871,0.5,3,2,0.5,1,0.0,2,50,0.8805819730414135,0.8407226356535193
40,10,0.455372435783702,0.4402719117500945,0.5,3,0,0.5,1,0.0,2,100,0.577907605348152,0.20489081513352703
41,5,0.5506763252628579,0.36901773769026724,0.5,0,2,0.5,1,0.5,2,100,0.740967769769211,0.6328720635180948
42,10,0.5972097033619876,-0.9539153860725595,0.25,3,0,0.0,1,0.5,2,30,0.8138024427949403,0.7145049464903603
43,10,0.6758424064876891,-0.8887128222494016,0.75,3,2,0.5,1,0.0,2,50,0.8195730263215487,0.42712440833707194
44,5,0.5609363747777292,-0.24200235057159736,0.5,1,2,0.5,1,0.0,2,30,0.8493837571396414,0.899297415417632
45,5,0.7815911279001313,-0.041049351922730626,0.75,1,0,0.5,1,0.5,2,30,0.9251174639215956,0.11858513411892269
46,2,0.3389224410101177,-0.5147313003835183,0.5,1,0,0.5,1,0.5,2,50,0.9821474500812001,0.6752749300227697
47,5,0.7491755510819427,0.7145865671769509,0.5,0,0,0.5,1,0.5,2,30,0.7870510056474591,0.4812714307858618
48,10,0.6308508544350202,0.3698729946039071,0.5,1,1,0.0,1,0.0,2,50,0.3125436922071426,0.791579709467129
49,5,0.6197157592057161,0.374133952510476,0.75,1,1,0.5,1,0.0,2,100,0.9345053329155008,0.2045398616987381
50,2,0.7372406290376199,0.8370899080367304,0.75,0,1,0.0,1,0.5,2,100,0.8704428273148852,0.7099603140498512
51,5,0.35967377149159374,-0.9218495915320499,0.5,3,0,0.0,1,0.0,2,50,0.6384636992342397,0.5518169335493032
52,2,0.5220210867164841,0.5640468702267554,0.5,1,1,0.5,1,0.5,2,100,0.8277558937391645,0.8661669511248913
53,10,0.6383226721045654,-5.254150412683037,0.5,1,2,0.5,1,0.5,2,50,0.6463053901440107,0.14745888927219022
54,10,0.5201426386855743,-0.4326889999550063,0.25,3,2,0.5,1,0.0,2,50,0.3451006565550535,0.3529479060877384
55,5,0.413003119806042,-0.27389871682476574,0.5,3,0,0.0,1,0.5,2,100,0.6152218501936922,0.16366010775155823
56,2,0.71998900987847,-9.623787694178404,0.5,0,1,0.5,1,0.0,2,30,0.994027420328082,0.833877847050798
57,5,0.6255028602185764,-4.250237530709329,0.25,0,1,0.5,1,0.0,2,30,0.2927954058583334,0.3983623005236601
58,10,0.5528578080752562,-7.238706487511497,0.25,3,0,0.0,1,0.5,2,30,0.5380514678576418,0.47482796662037735
59,10,0.6478623487882624,0.4914402220853781,0.5,0,2,0.0,1,0.5,2,50,0.9036674086720433,0.9148738175475912
60,5,0.6527042953368521,-6.020166939675962,0.25,1,1,0.0,1,0.5,2,50,0.510292321229458,0.9194196721400907
61,5,0.6367672141082515,-3.3354536701627744,0.25,3,2,0.5,1,0.5,2,30,0.3831024769723637,0.28118833142288013
62,10,0.8323704470185602,0.7842996202899698,0.75,3,0,0.5,1,0.5,2,50,0.23277299459328546,0.1043375502598415
63,10,0.6513911093333089,-0.2998136933010864,0.5,1,0,0.5,1,0.0,2,30,0.7215727337441746,0.3463056436332195
