,,,,,,
, YEAR            ,MONTH       ,NPGO,,,
,1.95E+03,1E+00,-2.1883951E+00,,,
,1.95E+03,2E+00,-1.4458314E+00,,,
,1.95E+03,3E+00,-9.6503568E-01,,,
,1.95E+03,4E+00,-8.5878799E-01,,,
,1.95E+03,5E+00,-6.3408219E-01,,,
,1.95E+03,6E+00,-5.8098428E-01,,,
,1.95E+03,7E+00,-7.4211428E-01,,,
,1.95E+03,8E+00,-5.4938418E-01,,,
,1.95E+03,9E+00,-6.0154498E-01,,,
,1.95E+03,1E+01,1.1943427E-01,,,
,1.95E+03,1.1E+01,-2.5707438E-01,,,
,1.95E+03,1.2E+01,-4.9336649E-01,,,
,1.951E+03,1E+00,-4.7853012E-01,,,
,1.951E+03,2E+00,-4.1382623E-01,,,
,1.951E+03,3E+00,-5.6954018E-01,,,
,1.951E+03,4E+00,-5.6114016E-01,,,
,1.951E+03,5E+00,-1.0714146E+00,,,
,1.951E+03,6E+00,-1.4352384E+00,,,
,1.951E+03,7E+00,-1.1039251E+00,,,
,1.951E+03,8E+00,-1.1748547E+00,,,
,1.951E+03,9E+00,-1.4195152E+00,,,
,1.951E+03,1E+01,-1.0693902E+00,,,
,1.951E+03,1.1E+01,-1.0120413E+00,,,
,1.951E+03,1.2E+01,-1.2247459E+00,,,
,1.952E+03,1E+00,-1.3350548E+00,,,
,1.952E+03,2E+00,-1.0909977E+00,,,
,1.952E+03,3E+00,-6.6951595E-01,,,
,1.952E+03,4E+00,-4.3371917E-01,,,
,1.952E+03,5E+00,-6.2650865E-01,,,
,1.952E+03,6E+00,-9.7265631E-01,,,
,1.952E+03,7E+00,-1.3356465E+00,,,
,1.952E+03,8E+00,-8.9742819E-01,,,
,1.952E+03,9E+00,-5.8261822E-01,,,
,1.952E+03,1E+01,-2.5781197E-01,,,
,1.952E+03,1.1E+01,-3.1621332E-01,,,
,1.952E+03,1.2E+01,8.4508038E-01,,,
,1.953E+03,1E+00,9.4395233E-01,,,
,1.953E+03,2E+00,7.4797162E-01,,,
,1.953E+03,3E+00,1.2173325E+00,,,
,1.953E+03,4E+00,1.2502004E+00,,,
,1.953E+03,5E+00,1.2707073E+00,,,
,1.953E+03,6E+00,1.056728E+00,,,
,1.953E+03,7E+00,1.0407542E+00,,,
,1.953E+03,8E+00,6.189014E-01,,,
,1.953E+03,9E+00,2.9073101E-01,,,
,1.953E+03,1E+01,1.0815173E+00,,,
,1.953E+03,1.1E+01,2.0496203E+00,,,
,1.953E+03,1.2E+01,1.418955E+00,,,
,1.954E+03,1E+00,1.0939573E+00,,,
,1.954E+03,2E+00,1.156514E+00,,,
,1.954E+03,3E+00,7.937343E-02,,,
