Year, Chinook, Sockeye, Coho, Pink, Chum, Total
1977,183,0,125718,–,125901
1978,42,720,0,127188,2214,130164
1979,445,300758,0,532303,1514,835020
1980,4388,638408,102,1406028,8557,2057483
1981,1504,362326,48857,3904308,39972,4356967
1982,3352,27590,84033,6067429,73869,6256273
1983,1175,158000,80820,5256149,209771,5705915
1984,5234,236762,135524,4838680,1549559,6765759
1985,10039,447448,196502,12891224,1118379,14663592
1986,14120,872507,388535,7630445,1330333,10235940
1987,22691,613433,171542,19819167,1378464,22005297
1988,28886,1001421,117108,12099427,1952956,15199798
1989,35150,1342578,278886,28403238,955802,31015654
1990,64859,1366025,680922,39580126,1487413,43179345
1991,71754,2289246,922466,36247398,1848535,41379399
1992,54661,1498967,1037831,12220536,2398376,17210371
1993,56404,2062422,620872,18023439,5918512,26681649
1994,43417,1610445,1024048,38814084,7977027,49469021
1995,79366,1075191,839924,22714552,8641336,33350369
1996,89354,2317366,930894,26178537,13974597,43490748
1997,66039,2499554,720746,30982804,11758168,46027311
1998,35965,1882080,944447,34564050,12622840,50049382
1999,46792,2568488,1180020,47193297,14144492,65133089
2000,81955,1520601,1179919,38191003,17684623,58658101
2001,91462,2498569,1244963,44616086,8358543,56809623
2002,85837,2749665,1576037,28443301,11813552,44638703
2003,88938,3694840,1102260,55071886,12764879,72721118
2004,118583,2669905,834124,28309396,10057578,41989586
2005,72998,1972236,1021934,64949983,6655453,74672604
2006,54854,2135578,1032130,24773517,14543841,42539920
2007,83889,2033337,809108,62677909,11473819,77078062
2008,97145,1510062,1123080,42075688,12820747,57626722
2009,82786,1534343,813392,27483685,11765847,41680053
2010,73593,2060770,916856,72484852,11854282,87390353
2011,101092,2673023,1073289,29876986,10255648,43980038
2012,71923,2304090,677976,26699246,14109316,43862551
2013,95570,1801171,1517608,88942840,14227394,106584583
2014,66173,2294284,1772277,47234781,6881646,58249161
2015,77495,2319615,936259,77896371,11327248,92556988
2016,43861,1758419,536275,11526801,9914308,23779664
2017,42045,1447642,625758,30234269,14270961,46620675
2018,41402,1771853,714637,23280580,13091246,38899718
