"","V1"
"1",0.343468434719187
"2",0.553276785252263
"3",0.440192860336384
"4",0.150964118317508
"5",-0.110441137011511
"6",-0.358368457347276
"7",-0.329285321875195
"8",-0.0311920501663535
"9",-0.183765648059658
"10",-0.296263103963614
"11",-0.0887349338217515
"12",-0.116973729786789
"13",-0.154080090633202
"14",-0.0952057914124912
"15",-0.224605906765505
"16",0.199885068562122
"17",0.342521519177047
"18",0.346869471889038
"19",-0.0251752550183161
"20",-0.0857309666841754
"21",0.260320636572508
"22",0.307652563809743
"23",0.0376987054883743
"24",-0.0349037703429254
"25",0.0766518475935793
"26",-0.0726240878133698
"27",-0.142500544354443
"28",-0.385312311162763
"29",-0.240665552989134
"30",-0.0836733525092808
