"","X","V","Imp","rand"
"1",1,1,0.00085781511355861,0.00097612190127377
"2",2,2,0.000288268893884595,0.000134877392344946
"3",3,3,0.0174254240229035,0.0349300766228933
"4",4,4,0.000905678723268311,0.0502274808019859
"5",5,5,0.0440600519748651,0.0854329267495866
"6",6,6,0.021319947466509,0.00254898193888087
"7",7,7,0.11527343535077,0.00285834944299725
"8",8,8,0.0445619663318763,0.113696412283368
"9",9,9,0.0896004773110893,0.0676367147418786
"10",10,10,0.0240245919158301,0.162399495648377
"11",11,11,0.000150912872803361,0.102947166596956
"12",12,12,0.0325267934330437,0.0899022338707539
"13",13,13,0.0197674148357881,7.20287084182737e-07
"14",14,14,0.00514969160091019,0.00945834731044036
"15",15,15,0.0051672842743975,0.0267856116818598
